level,words
1,"Цб"
1,"ЦБР"
1,"Центробанк"
1,"Набиуллина"
1,"Банк России"
1,"Регулятор"
1,"Мегарегулятор"
1,"Монетарный"
1,"ДКП"
1,"денежнокредитный"
2,"Инфляция"
2,"Ставка"
2,"Ключевой"
2,"ДКП"
2,"Инфляционный"
2,"Ожидание"
2,"Ввп"
2,"Экономика"
2,"Экономический"
2,"Макроэкономический"
2,"Жесткий"
2,"Мягкий"
2,"Смягчение"
2,"Ужесточение"
2,"Смягчать"
2,"Ужесточать"
2,"Прогноз"
2,"Дефляция"
2,"Дефляционный"
2,"Стагнация"
2,"ОФЗ"
2,"Профицит"
2,"Дефицит"
2,"ИПЦ"
-1,"Абхазия"
-1,"Австралия"
-1,"Австрия"
-1,"Азербайджан"
-1,"Албания"
-1,"Алжир"
-1,"Ангола"
-1,"Андорра"
-1,"Антигуа"
-1,"Аргентина"
-1,"Армения"
-1,"Афганистан"
-1,"Багамские"
-1,"Бангладеш"
-1,"Барбадос"
-1,"Бахрейн"
-1,"Белиз"
-1,"Белоруссия"
-1,"Беларусь"
-1,"Бельгия"
-1,"Бенин"
-1,"Болгария"
-1,"Боливия"
-1,"Босния"
-1,"Ботсвана"
-1,"Бразилия"
-1,"Бруней"
-1,"Буркина-Фасо"
-1,"Бурунди"
-1,"Бутан"
-1,"Вануату"
-1,"Ватикан"
-1,"Великобритания"
-1,"Венгрия"
-1,"Венесуэла"
-1,"Восточный"
-1,"Вьетнам"
-1,"Габон"
-1,"Гаити"
-1,"Гайана"
-1,"Гамбия"
-1,"Гана"
-1,"Гватемала"
-1,"Гвинея"
-1,"Гвинея-Бисау"
-1,"Германия"
-1,"Гондурас"
-1,"Государство"
-1,"Гренада"
-1,"Греция"
-1,"Грузия"
-1,"Дания"
-1,"Джибути"
-1,"Доминика"
-1,"Доминиканская"
-1,"ДР"
-1,"Египет"
-1,"Замбия"
-1,"Зимбабве"
-1,"Израиль"
-1,"Индия"
-1,"Индонезия"
-1,"Иордания"
-1,"Ирак"
-1,"Иран"
-1,"Ирландия"
-1,"Исландия"
-1,"Испания"
-1,"Италия"
-1,"Йемен"
-1,"Кабо-Верде"
-1,"Казахстан"
-1,"Камбоджа"
-1,"Камерун"
-1,"Канада"
-1,"Катар"
-1,"Кения"
-1,"Кипр"
-1,"Киргизия"
-1,"Кирибати"
-1,"Китай"
-1,"КНДР"
-1,"Колумбия"
-1,"Коморские"
-1,"Коста-Рика"
-1,"Кот-д'Ивуар"
-1,"Куба"
-1,"Кувейт"
-1,"Лаос"
-1,"Латвия"
-1,"Лесото"
-1,"Либерия"
-1,"Ливан"
-1,"Ливия"
-1,"Литва"
-1,"Лихтенштейн"
-1,"Люксембург"
-1,"Маврикий"
-1,"Мавритания"
-1,"Мадагаскар"
-1,"Малави"
-1,"Малайзия"
-1,"Мали"
-1,"Мальдивские"
-1,"Мальта"
-1,"Марокко"
-1,"Маршалловы"
-1,"Мексика"
-1,"Мозамбик"
-1,"Молдавия"
-1,"Монако"
-1,"Монголия"
-1,"Мьянма"
-1,"Намибия"
-1,"Науру"
-1,"Непал"
-1,"Нигер"
-1,"Нигерия"
-1,"Нидерланды"
-1,"Никарагуа"
-1,"Норвегия"
-1,"ОАЭ"
-1,"Оман"
-1,"Пакистан"
-1,"Палау"
-1,"Панама"
-1,"Папуа"
-1,"Парагвай"
-1,"Перу"
-1,"Польша"
-1,"Португалия"
-1,"Республика"
-1,"Республика"
-1,"Руанда"
-1,"Румыния"
-1,"Сальвадор"
-1,"Самоа"
-1,"Сан-Марино"
-1,"Сан-Томе"
-1,"Саудовская"
-1,"Северная"
-1,"Сейшельские"
-1,"Сенегал"
-1,"Сент-Винсент"
-1,"Сент-Китс"
-1,"Сент-Люсия"
-1,"Сербия"
-1,"Сингапур"
-1,"Сирия"
-1,"Словакия"
-1,"Словения"
-1,"Соломоновы"
-1,"Сомали"
-1,"Судан"
-1,"Суринам"
-1,"США"
-1,"Сьерра-Леоне"
-1,"Таджикистан"
-1,"Таиланд"
-1,"Танзания"
-1,"Тонга"
-1,"Тринидад"
-1,"Тувалу"
-1,"Тунис"
-1,"Туркмения"
-1,"Турция"
-1,"Уганда"
-1,"Узбекистан"
-1,"Украина"
-1,"Уругвай"
-1,"Федеративные"
-1,"Фиджи"
-1,"Филиппины"
-1,"Финляндия"
-1,"Франция"
-1,"Хорватия"
-1,"ЦАР"
-1,"Чад"
-1,"Черногория"
-1,"Чехия"
-1,"Чили"
-1,"Швейцария"
-1,"Швеция"
-1,"Шри-Ланка"
-1,"Эквадор"
-1,"Экваториальная"
-1,"Эритрея"
-1,"Эсватини"
-1,"Эстония"
-1,"Эфиопия"
-1,"ЮАР"
-1,"Ямайка"
-1,"Япония"
-1,"ФРС"
-1,"ЕЦБ"
-1,"Еврозона"
